Race_and_Ethnicity,Sex,S&E_Fields,Broad_Fields,Detailed_Fields,Year,Number
"Other race or race not reported, Not Hispanic or Latino",Male,Science and engineering,Engineering,Other engineering,2017,13.0
"Other race or race not reported, Not Hispanic or Latino",Male,Non-science and engineering,Education,Education research,2017,5.0
"Other race or race not reported, Not Hispanic or Latino",Male,Non-science and engineering,Education,Teaching fields,2017,2.0
"Other race or race not reported, Not Hispanic or Latino",Male,Non-science and engineering,Education,Other education,2017,2.0
"Other race or race not reported, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Foreign languages and literature,2017,2.0
"Other race or race not reported, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,History,2017,11.0
"Other race or race not reported, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Letters,2017,16.0
"Other race or race not reported, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Other humanities and arts,2017,13.0
"Other race or race not reported, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Business management and administration,2017,10.0
"Other race or race not reported, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Communication,2017,3.0
"Other race or race not reported, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2017,2.0
"Other race or race not reported, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Unknown field,2017,1.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Agricultural sciences and natural resources,2017,1.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Biological and biomedical sciences,2017,31.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Health sciences,2017,18.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,Chemistry,2017,5.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2017,4.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2017,4.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2017,5.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2017,5.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Psychology,2017,16.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Anthropology,2017,1.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Economics,2017,3.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Political science and government,2017,7.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Sociology,2017,3.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Other social sciences,2017,9.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Engineering,Bioengineering and biomedical engineering,2017,1.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Engineering,Chemical engineering,2017,1.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2017,2.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Engineering,Industrial and manufacturing engineering,2017,1.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Engineering,Materials science engineering,2017,5.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Engineering,Mechanical engineering,2017,3.0
"Other race or race not reported, Not Hispanic or Latino",Female,Science and engineering,Engineering,Other engineering,2017,2.0
"Other race or race not reported, Not Hispanic or Latino",Female,Non-science and engineering,Education,Education administration,2017,5.0
"Other race or race not reported, Not Hispanic or Latino",Female,Non-science and engineering,Education,Education research,2017,14.0
"Other race or race not reported, Not Hispanic or Latino",Female,Non-science and engineering,Education,Teaching fields,2017,5.0
"Other race or race not reported, Not Hispanic or Latino",Female,Non-science and engineering,Education,Other education,2017,4.0
"Other race or race not reported, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Foreign languages and literature,2017,4.0
"Other race or race not reported, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,History,2017,8.0
"Other race or race not reported, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Letters,2017,13.0
"Other race or race not reported, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Other humanities and arts,2017,10.0
"Other race or race not reported, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Business management and administration,2017,6.0
"Other race or race not reported, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Communication,2017,1.0
"Other race or race not reported, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2017,4.0
Ethnicity not reported,Male,Science and engineering,Life sciences,Agricultural sciences and natural resources,2017,21.0
Ethnicity not reported,Male,Science and engineering,Life sciences,Biological and biomedical sciences,2017,56.0
Ethnicity not reported,Male,Science and engineering,Life sciences,Health sciences,2017,14.0
Ethnicity not reported,Male,Science and engineering,Physical sciences and earth sciences,Chemistry,2017,17.0
Ethnicity not reported,Male,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2017,6.0
Ethnicity not reported,Male,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2017,14.0
Ethnicity not reported,Male,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2017,22.0
Ethnicity not reported,Male,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2017,29.0
Ethnicity not reported,Male,Science and engineering,Psychology and social sciences,Psychology,2017,26.0
Ethnicity not reported,Male,Science and engineering,Psychology and social sciences,Anthropology,2017,2.0
Ethnicity not reported,Male,Science and engineering,Psychology and social sciences,Economics,2017,22.0
Ethnicity not reported,Male,Science and engineering,Psychology and social sciences,Political science and government,2017,7.0
Ethnicity not reported,Male,Science and engineering,Psychology and social sciences,Sociology,2017,6.0
Ethnicity not reported,Male,Science and engineering,Psychology and social sciences,Other social sciences,2017,11.0
Ethnicity not reported,Male,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2017,5.0
Ethnicity not reported,Male,Science and engineering,Engineering,Bioengineering and biomedical engineering,2017,11.0
Ethnicity not reported,Male,Science and engineering,Engineering,Chemical engineering,2017,11.0
Ethnicity not reported,Male,Science and engineering,Engineering,Civil engineering,2017,7.0
Ethnicity not reported,Male,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2017,30.0
Ethnicity not reported,Male,Science and engineering,Engineering,Industrial and manufacturing engineering,2017,3.0
Ethnicity not reported,Male,Science and engineering,Engineering,Materials science engineering,2017,9.0
Ethnicity not reported,Male,Science and engineering,Engineering,Mechanical engineering,2017,16.0
Ethnicity not reported,Male,Science and engineering,Engineering,Other engineering,2017,20.0
Ethnicity not reported,Male,Non-science and engineering,Education,Education administration,2017,10.0
Ethnicity not reported,Male,Non-science and engineering,Education,Education research,2017,12.0
Ethnicity not reported,Male,Non-science and engineering,Education,Teaching fields,2017,3.0
Ethnicity not reported,Male,Non-science and engineering,Education,Other education,2017,4.0
Ethnicity not reported,Male,Non-science and engineering,Humanities and arts,Foreign languages and literature,2017,4.0
Ethnicity not reported,Male,Non-science and engineering,Humanities and arts,History,2017,4.0
Ethnicity not reported,Male,Non-science and engineering,Humanities and arts,Letters,2017,13.0
Ethnicity not reported,Male,Non-science and engineering,Humanities and arts,Other humanities and arts,2017,22.0
Ethnicity not reported,Male,Non-science and engineering,Other non-S&E,Business management and administration,2017,14.0
Ethnicity not reported,Male,Non-science and engineering,Other non-S&E,Communication,2017,4.0
Ethnicity not reported,Male,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2017,5.0
Ethnicity not reported,Female,Science and engineering,Life sciences,Agricultural sciences and natural resources,2017,11.0
Ethnicity not reported,Female,Science and engineering,Life sciences,Biological and biomedical sciences,2017,49.0
Ethnicity not reported,Female,Science and engineering,Life sciences,Health sciences,2017,26.0
Ethnicity not reported,Female,Science and engineering,Physical sciences and earth sciences,Chemistry,2017,13.0
Ethnicity not reported,Female,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2017,5.0
Ethnicity not reported,Female,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2017,6.0
Ethnicity not reported,Female,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2017,9.0
Ethnicity not reported,Female,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2017,9.0
Ethnicity not reported,Female,Science and engineering,Psychology and social sciences,Psychology,2017,54.0
Ethnicity not reported,Female,Science and engineering,Psychology and social sciences,Anthropology,2017,3.0
Ethnicity not reported,Female,Science and engineering,Psychology and social sciences,Economics,2017,13.0
Ethnicity not reported,Female,Science and engineering,Psychology and social sciences,Political science and government,2017,4.0
Ethnicity not reported,Female,Science and engineering,Psychology and social sciences,Sociology,2017,6.0
Ethnicity not reported,Female,Science and engineering,Psychology and social sciences,Other social sciences,2017,19.0
Ethnicity not reported,Female,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2017,1.0
Ethnicity not reported,Female,Science and engineering,Engineering,Bioengineering and biomedical engineering,2017,4.0
Ethnicity not reported,Female,Science and engineering,Engineering,Chemical engineering,2017,3.0
Ethnicity not reported,Female,Science and engineering,Engineering,Civil engineering,2017,1.0
Ethnicity not reported,Female,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2017,6.0
Ethnicity not reported,Female,Science and engineering,Engineering,Industrial and manufacturing engineering,2017,1.0
Ethnicity not reported,Female,Science and engineering,Engineering,Materials science engineering,2017,2.0
Ethnicity not reported,Female,Science and engineering,Engineering,Mechanical engineering,2017,6.0
Ethnicity not reported,Female,Science and engineering,Engineering,Other engineering,2017,8.0
Ethnicity not reported,Female,Non-science and engineering,Education,Education administration,2017,6.0
Ethnicity not reported,Female,Non-science and engineering,Education,Education research,2017,30.0
Ethnicity not reported,Female,Non-science and engineering,Education,Teacher education,2017,1.0
Ethnicity not reported,Female,Non-science and engineering,Education,Teaching fields,2017,8.0
Ethnicity not reported,Female,Non-science and engineering,Education,Other education,2017,20.0
Ethnicity not reported,Female,Non-science and engineering,Humanities and arts,Foreign languages and literature,2017,5.0
Ethnicity not reported,Female,Non-science and engineering,Humanities and arts,History,2017,5.0
Ethnicity not reported,Female,Non-science and engineering,Humanities and arts,Letters,2017,13.0
Ethnicity not reported,Female,Non-science and engineering,Humanities and arts,Other humanities and arts,2017,25.0
Ethnicity not reported,Female,Non-science and engineering,Other non-S&E,Business management and administration,2017,12.0
Ethnicity not reported,Female,Non-science and engineering,Other non-S&E,Communication,2017,9.0
Ethnicity not reported,Female,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2017,9.0
Ethnicity/Race not available,Male,Science and engineering,Life sciences,Detailed field unavailable,2017,1666.0
Ethnicity/Race not available,Male,Science and engineering,Physical sciences and earth sciences,Detailed field unavailable,2017,1526.0
Ethnicity/Race not available,Male,Science and engineering,Mathematics and computer sciences,Detailed field unavailable,2017,1493.0
Ethnicity/Race not available,Male,Science and engineering,Psychology and social sciences,Detailed field unavailable,2017,895.0
Ethnicity/Race not available,Male,Science and engineering,Engineering,Detailed field unavailable,2017,3939.0
Ethnicity/Race not available,Male,Non-science and engineering,Education,Detailed field unavailable,2017,214.0
Ethnicity/Race not available,Male,Non-science and engineering,Humanities and arts,Detailed field unavailable,2017,362.0
Ethnicity/Race not available,Male,Non-science and engineering,Other non-S&E,Detailed field unavailable,2017,507.0
Ethnicity/Race not available,Female,Science and engineering,Life sciences,Detailed field unavailable,2017,1666.0
Ethnicity/Race not available,Female,Science and engineering,Physical sciences and earth sciences,Detailed field unavailable,2017,634.0
Ethnicity/Race not available,Female,Science and engineering,Mathematics and computer sciences,Detailed field unavailable,2017,433.0
Ethnicity/Race not available,Female,Science and engineering,Psychology and social sciences,Detailed field unavailable,2017,772.0
Ethnicity/Race not available,Female,Science and engineering,Engineering,Detailed field unavailable,2017,1099.0
Ethnicity/Race not available,Female,Non-science and engineering,Education,Detailed field unavailable,2017,320.0
Ethnicity/Race not available,Female,Non-science and engineering,Humanities and arts,Detailed field unavailable,2017,330.0
Ethnicity/Race not available,Female,Non-science and engineering,Other non-S&E,Detailed field unavailable,2017,433.0
Ethnicity/Race not available,Unknown sex,Science and engineering,Physical sciences and earth sciences,Detailed field unavailable,2017,1.0
Ethnicity/Race not available,Male,Science and engineering,Life sciences,Detailed field unavailable,2017,140.0
Ethnicity/Race not available,Male,Science and engineering,Physical sciences and earth sciences,Detailed field unavailable,2017,106.0
Ethnicity/Race not available,Male,Science and engineering,Mathematics and computer sciences,Detailed field unavailable,2017,79.0
Ethnicity/Race not available,Male,Science and engineering,Psychology and social sciences,Detailed field unavailable,2017,156.0
Ethnicity/Race not available,Male,Science and engineering,Engineering,Detailed field unavailable,2017,178.0
Ethnicity/Race not available,Male,Non-science and engineering,Education,Detailed field unavailable,2017,63.0
Ethnicity/Race not available,Male,Non-science and engineering,Humanities and arts,Detailed field unavailable,2017,117.0
Ethnicity/Race not available,Male,Non-science and engineering,Other non-S&E,Detailed field unavailable,2017,90.0
Ethnicity/Race not available,Female,Science and engineering,Life sciences,Detailed field unavailable,2017,253.0
Ethnicity/Race not available,Female,Science and engineering,Physical sciences and earth sciences,Detailed field unavailable,2017,102.0
Ethnicity/Race not available,Female,Science and engineering,Mathematics and computer sciences,Detailed field unavailable,2017,88.0
Ethnicity/Race not available,Female,Science and engineering,Psychology and social sciences,Detailed field unavailable,2017,363.0
Ethnicity/Race not available,Female,Science and engineering,Engineering,Detailed field unavailable,2017,244.0
Ethnicity/Race not available,Female,Non-science and engineering,Education,Detailed field unavailable,2017,175.0
Ethnicity/Race not available,Female,Non-science and engineering,Humanities and arts,Detailed field unavailable,2017,179.0
Ethnicity/Race not available,Female,Non-science and engineering,Other non-S&E,Detailed field unavailable,2017,178.0
Ethnicity/Race not available,Unknown sex,Science and engineering,Life sciences,Detailed field unavailable,2017,4.0
Ethnicity/Race not available,Unknown sex,Science and engineering,Mathematics and computer sciences,Detailed field unavailable,2017,1.0
Ethnicity/Race not available,Unknown sex,Science and engineering,Psychology and social sciences,Detailed field unavailable,2017,4.0
Ethnicity/Race not available,Unknown sex,Science and engineering,Engineering,Detailed field unavailable,2017,6.0
Ethnicity/Race not available,Unknown sex,Non-science and engineering,Education,Detailed field unavailable,2017,2.0
Ethnicity/Race not available,Unknown sex,Non-science and engineering,Humanities and arts,Detailed field unavailable,2017,1.0
Ethnicity/Race not available,Unknown sex,Non-science and engineering,Other non-S&E,Detailed field unavailable,2017,2.0
Hispanic or Latino,Male,Science and engineering,Life sciences,Agricultural sciences and natural resources,2016,19.0
Hispanic or Latino,Male,Science and engineering,Life sciences,Biological and biomedical sciences,2016,192.0
Hispanic or Latino,Male,Science and engineering,Life sciences,Health sciences,2016,31.0
Hispanic or Latino,Male,Science and engineering,Physical sciences and earth sciences,Chemistry,2016,43.0
Hispanic or Latino,Male,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2016,23.0
Hispanic or Latino,Male,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2016,47.0
Hispanic or Latino,Male,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2016,27.0
Hispanic or Latino,Male,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2016,50.0
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Psychology,2016,92.0
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Anthropology,2016,13.0
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Economics,2016,18.0
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Political science and government,2016,26.0
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Sociology,2016,14.0
Hispanic or Latino,Male,Science and engineering,Psychology and social sciences,Other social sciences,2016,56.0
Hispanic or Latino,Male,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2016,13.0
Hispanic or Latino,Male,Science and engineering,Engineering,Bioengineering and biomedical engineering,2016,33.0
Hispanic or Latino,Male,Science and engineering,Engineering,Chemical engineering,2016,21.0
Hispanic or Latino,Male,Science and engineering,Engineering,Civil engineering,2016,12.0
Hispanic or Latino,Male,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2016,22.0
Hispanic or Latino,Male,Science and engineering,Engineering,Industrial and manufacturing engineering,2016,8.0
Hispanic or Latino,Male,Science and engineering,Engineering,Materials science engineering,2016,21.0
Hispanic or Latino,Male,Science and engineering,Engineering,Mechanical engineering,2016,26.0
Hispanic or Latino,Male,Science and engineering,Engineering,Other engineering,2016,42.0
Hispanic or Latino,Male,Non-science and engineering,Education,Education administration,2016,12.0
Hispanic or Latino,Male,Non-science and engineering,Education,Education research,2016,40.0
Hispanic or Latino,Male,Non-science and engineering,Education,Teaching fields,2016,26.0
Hispanic or Latino,Male,Non-science and engineering,Education,Other education,2016,13.0
Hispanic or Latino,Male,Non-science and engineering,Humanities and arts,Foreign languages and literature,2016,34.0
Hispanic or Latino,Male,Non-science and engineering,Humanities and arts,History,2016,34.0
Hispanic or Latino,Male,Non-science and engineering,Humanities and arts,Letters,2016,27.0
Hispanic or Latino,Male,Non-science and engineering,Humanities and arts,Other humanities and arts,2016,45.0
Hispanic or Latino,Male,Non-science and engineering,Other non-S&E,Business management and administration,2016,34.0
Hispanic or Latino,Male,Non-science and engineering,Other non-S&E,Communication,2016,12.0
Hispanic or Latino,Male,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2016,8.0
Hispanic or Latino,Female,Science and engineering,Life sciences,Agricultural sciences and natural resources,2016,27.0
Hispanic or Latino,Female,Science and engineering,Life sciences,Biological and biomedical sciences,2016,301.0
Hispanic or Latino,Female,Science and engineering,Life sciences,Health sciences,2016,82.0
Hispanic or Latino,Female,Science and engineering,Physical sciences and earth sciences,Chemistry,2016,44.0
Hispanic or Latino,Female,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2016,19.0
Hispanic or Latino,Female,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2016,10.0
Hispanic or Latino,Female,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2016,6.0
Hispanic or Latino,Female,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2016,12.0
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Psychology,2016,212.0
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Anthropology,2016,25.0
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Economics,2016,13.0
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Political science and government,2016,17.0
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Sociology,2016,19.0
Hispanic or Latino,Female,Science and engineering,Psychology and social sciences,Other social sciences,2016,76.0
Hispanic or Latino,Female,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2016,4.0
Hispanic or Latino,Female,Science and engineering,Engineering,Bioengineering and biomedical engineering,2016,17.0
Hispanic or Latino,Female,Science and engineering,Engineering,Chemical engineering,2016,11.0
Hispanic or Latino,Female,Science and engineering,Engineering,Civil engineering,2016,4.0
Hispanic or Latino,Female,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2016,6.0
Hispanic or Latino,Female,Science and engineering,Engineering,Industrial and manufacturing engineering,2016,1.0
Hispanic or Latino,Female,Science and engineering,Engineering,Materials science engineering,2016,15.0
Hispanic or Latino,Female,Science and engineering,Engineering,Mechanical engineering,2016,6.0
Hispanic or Latino,Female,Science and engineering,Engineering,Other engineering,2016,9.0
Hispanic or Latino,Female,Non-science and engineering,Education,Education administration,2016,31.0
Hispanic or Latino,Female,Non-science and engineering,Education,Education research,2016,116.0
Hispanic or Latino,Female,Non-science and engineering,Education,Teacher education,2016,5.0
Hispanic or Latino,Female,Non-science and engineering,Education,Teaching fields,2016,45.0
Hispanic or Latino,Female,Non-science and engineering,Education,Other education,2016,32.0
Hispanic or Latino,Female,Non-science and engineering,Humanities and arts,Foreign languages and literature,2016,58.0
Hispanic or Latino,Female,Non-science and engineering,Humanities and arts,History,2016,42.0
Hispanic or Latino,Female,Non-science and engineering,Humanities and arts,Letters,2016,28.0
Hispanic or Latino,Female,Non-science and engineering,Humanities and arts,Other humanities and arts,2016,51.0
Hispanic or Latino,Female,Non-science and engineering,Other non-S&E,Business management and administration,2016,22.0
Hispanic or Latino,Female,Non-science and engineering,Other non-S&E,Communication,2016,22.0
Hispanic or Latino,Female,Non-science and engineering,Other non-S&E,Non-S&E fields not elsewhere classified,2016,26.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Agricultural sciences and natural resources,2016,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Biological and biomedical sciences,2016,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Health sciences,2016,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Chemistry,2016,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2016,3.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2016,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2016,3.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Psychology,2016,5.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Anthropology,2016,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Economics,2016,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Political science and government,2016,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Other social sciences,2016,7.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2016,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Engineering,Civil engineering,2016,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Engineering,"Electrical, electronics, and communications engineering",2016,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Science and engineering,Engineering,Other engineering,2016,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Education,Education administration,2016,3.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Education,Education research,2016,4.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Education,Other education,2016,3.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Foreign languages and literature,2016,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Letters,2016,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Humanities and arts,Other humanities and arts,2016,7.0
"American Indian or Alaska Native, Not Hispanic or Latino",Male,Non-science and engineering,Other non-S&E,Business management and administration,2016,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Agricultural sciences and natural resources,2016,3.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Biological and biomedical sciences,2016,9.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Life sciences,Health sciences,2016,8.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,Chemistry,2016,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2016,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2016,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Psychology,2016,6.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Anthropology,2016,3.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Political science and government,2016,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Sociology,2016,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Psychology and social sciences,Other social sciences,2016,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",2016,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Science and engineering,Engineering,Other engineering,2016,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Education,Education administration,2016,3.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Education,Education research,2016,9.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Education,Teacher education,2016,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Education,Teaching fields,2016,5.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Education,Other education,2016,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Foreign languages and literature,2016,1.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,History,2016,3.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Letters,2016,2.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Humanities and arts,Other humanities and arts,2016,3.0
"American Indian or Alaska Native, Not Hispanic or Latino",Female,Non-science and engineering,Other non-S&E,Business management and administration,2016,2.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Agricultural sciences and natural resources,2016,19.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Biological and biomedical sciences,2016,299.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Life sciences,Health sciences,2016,49.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Chemistry,2016,76.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",2016,25.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Physical sciences and earth sciences,Physics and astronomy,2016,75.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Mathematics and computer sciences,Computer and information sciences,2016,89.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,2016,62.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Psychology,2016,35.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Anthropology,2016,3.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Economics,2016,27.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Political science and government,2016,15.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Sociology,2016,14.0
"Asian, Not Hispanic or Latino",Male,Science and engineering,Psychology and social sciences,Other social sciences,2016,36.0
